feature,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
miRNA_23,801650966741.5706,10.479534804338776,0.23637232164810698,44.3348642991285,0,0
miRNA_89,813447407265.7231,10.552613034115527,0.2482486801237203,42.50823419829018,0,0
miRNA_90,512999160689.2254,10.266500866829224,0.23376571798295537,43.91790616440084,0,0
miRNA_97,358097973688.7244,10.163296589565926,0.2314669318135464,43.90820109782579,0,0
miRNA_117,642998323451.8676,10.364132784910108,0.24297031597462468,42.65596290368457,0,0
miRNA_119,650268851811.3533,10.281701646444116,0.2443418418830472,42.079168951199904,0,0
miRNA_130,416617999487.1656,10.148387841775321,0.23806156206217113,42.62925838957997,0,0
miRNA_134,418788779103.0959,10.203886568894953,0.23699884337499832,43.05458382659512,0,0
miRNA_173,639029548163.6362,10.23267500634479,0.22756211195637013,44.96651449739873,0,0
miRNA_193,812215691337.7327,10.556573409110364,0.24539796556211602,43.01817818631526,0,0
miRNA_194,812228187354.9448,10.552674713267944,0.25065973438417183,42.099600636672115,0,0
miRNA_195,374983160657.7851,9.85029621533697,0.23007670298950797,42.81309705566394,0,0
miRNA_206,376796522556.7933,9.663215919265209,0.2275510901913097,42.46613765348707,0,0
miRNA_207,288298892451.87305,9.342783106959118,0.22460378618340418,41.59673024981914,0,0
miRNA_231,283789142172.36774,9.687344619528227,0.24226767850676922,39.98612063828214,0,0
miRNA_243,355166286825.3235,9.549810638233456,0.2271229497839675,42.04687658079885,0,0
miRNA_249,689136727430.5675,10.619231651780048,0.23103789121623036,45.963160397103074,0,0
miRNA_380,260061928592.7961,9.104803282609788,0.2183408658862251,41.699950422264045,0,0
miRNA_382,288906877721.0173,9.477235102992791,0.2258113996747714,41.969692923574875,0,0
miRNA_385,298243342519.62994,10.295141601502058,0.24040412997551794,42.82431255465738,0,0
miRNA_386,237170973974.23196,9.519609600295446,0.22438526555705113,42.42528838363068,0,0
miRNA_388,363453152027.1313,10.36475071426923,0.25652091487759426,40.40509024075111,0,0
miRNA_390,303517466666.0892,9.262664880655409,0.22103778892505227,41.905345351586554,0,0
miRNA_404,568465233778.6732,10.476246601551782,0.2527654671575674,41.4465105513055,0,0
miRNA_434,796638264330.2885,10.562953805332821,0.25431993539519737,41.534116422759574,0,0
miRNA_435,796153141857.6088,10.557178391718201,0.25370825620062176,41.6114893138126,0,0
miRNA_465,713412176927.1868,10.379248758969638,0.22502714588363507,46.12442964697647,0,0
miRNA_483,312892364616.7233,10.42414385758794,0.26503859093457777,39.33066434148467,0,0
miRNA_484,325396168775.0785,10.419153264252257,0.257458388065547,40.469270947193294,0,0
miRNA_522,351182680705.9011,9.888299614238157,0.23616024669954247,41.87114365111016,0,0
miRNA_676,296540960182.5593,10.172324584661848,0.25731857931949476,39.5320252877332,0,0
miRNA_818,813914265311.5525,10.514331024233801,0.23477363940606563,44.78497266913413,0,0
miRNA_848,475222980617.6177,9.919494148106734,0.22605654915025805,43.88058733707964,0,0
miRNA_1032,813523990496.5608,10.536805511181194,0.24879931804272912,42.350620548612554,0,0
miRNA_1040,551244060756.3412,10.779591993431017,0.24799869926630957,43.46632472396768,0,0
miRNA_1044,670627728134.874,10.243168964624923,0.22796440309823754,44.93319494364564,0,0
miRNA_1079,372911026542.80646,9.988343500997741,0.23665981400628702,42.20549036995522,0,0
miRNA_1080,813871902568.6237,10.564995438058945,0.2655607642733387,39.783721315037774,0,0
miRNA_1119,263303007937.60736,9.61712169139475,0.22703398400467228,42.359833192183395,0,0
